key,state_name,state,city,police_department,total,white,black,native,asian,hawaiian,asianpacificislander,other,two_races,hispanic,black_victims_2012,Unarmed Black,Unarmed White,Unarmed Hispanic,Unarmed Native American,Unarmed Asian/Pacific Islander,Unarmed Unknown,All Unarmed,Rate of Unarmed Black,Rate of Unarmed White,Rate of Unarmed Hispanic,Rate of Unarmed Native American,Rate of Unarmed Asian/Pacific Islander,Rate of All Unarmed,Black Victims,White Victims,Hispanic Victims,Asian/Pacific Islander Victims,Victims of Unknown Race,All,Percent of Victims Black,Rate of All Police Killings per 1M,Rate of Police Killings of Black People per 1M,Rate of Police Killings of White People per 1M,Rate of Police Killings of Hispanic People per 1M,Rate of Police Killings of Asian People per 1M,murder_rate,violent_crime_rate,population,violent_crime,murder_and_manslaughter,Black Armed,White Armed,Hispanic Armed,Asian/Pacific Islander Armed,Unknown Armed,Black Male Police Homicide Rate
36,Louisiana,LA,New Orleans,New Orleans PD,343829,104770,204866,827,9883,105,9988,967,4360,18051,5.0,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,2.0,1.0,,,,3,67,8.7,9.8,9.5,0,0.0,41.4,7.9,377022,2965,156,2,1,0,0,0,19.52495778
37,Ohio,OH,Cleveland,Cleveland Police Division,396815,132710,208208,997,7213,70,7283,599,7484,39534,4.0,2.0,,,,,,2,9.61,0.0,0.0,0,0.0,5.04,3.0,,,,,3,100,7.6,14.4,0.0,0,0.0,14.1,14.8,389181,5751,55,1,0,0,0,0,19.2
38,California,CA,Oakland,Oakland PD,390724,101308,106637,1214,65127,2081,67208,1213,14076,99068,,1.0,,,,1.0,,2,9.38,0.0,0.0,0,14.88,5.12,1.0,,3.0,1.0,,5,20,12.8,9.4,0.0,30.3,14.9,22.3,19.8,403887,7984,90,0,0,3,0,0,18.75521629
39,North Carolina,NC,Greensboro,Greensboro PD,269666,122888,108233,1096,10711,128,10839,703,5571,20336,,1.0,,,,,,1,9.24,0.0,0.0,0,0.0,3.71,1.0,1.0,,1.0,,3,33,11.1,9.2,8.1,0,92.25943353,9.7,5.2,279343,1449,27,0,1,0,1,0,18.47865254
40,Indiana,IN,Indianapolis,Indianapolis Metro PD,820445,480960,223053,1760,17053,274,17327,2123,17870,77352,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,2.0,3.0,,,,5,40,6.1,9.0,6.2,0,0.0,15.2,12.3,850220,10479,129,2,3,0,0,0,17.93295764
41,Wisconsin,WI,Milwaukee,Milwaukee PD,594833,220219,233325,3408,20553,195,20748,819,13307,103007,,1.0,,,,,,1,4.29,0.0,0.0,0,0.0,1.68,2.0,,,,,2,0,3.4,8.6,0.0,0,0.0,17.3,13.6,600805,8194,104,1,0,0,0,0,17.14346941
42,Massachusetts,MA,Boston,Boston PD,617594,290312,138073,1227,54846,182,55028,10078,14959,107917,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,1.0,,,,,1,100,1.6,7.2,0.0,0,0.0,6.1,7.8,643799,5037,39,1,0,0,0,0,14.48509122
43,New York,NY,New York,New York PD,8175133,2722904,1861295,17427,1028119,2795,1030914,57841,148676,2336076,19.0,3.0,,1.0,,,,4,1.61,0.0,0.43,0,0.0,0.49,10.0,3.0,2.0,,,15,67,1.8,5.4,1.1,0.9,0.0,4.0,6.2,8396126,52384,335,7,3,1,0,0,10.74520697
44,North Carolina,NC,Charlotte,Charlotte-Mecklenburg PD,731424,329545,252007,2250,36115,436,36551,1960,13423,95688,,1.0,,,,,,1,3.97,0.0,0.0,0,0.0,1.37,1.0,,,,,1,100,1.4,4.0,0.0,0,0.0,7.0,6.1,837638,5093,59,0,0,0,0,0,7.936287484
45,Michigan,MI,Detroit,Detroit PD,713777,55604,586573,1927,7436,82,7518,994,12482,48679,6.0,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,2.0,1.0,1.0,,2.0,6,33,8.4,3.4,18.0,20.5,0.0,45.2,20.7,699889,14504,316,2,1,1,0,2,6.819270577
